Date,Instagram_Minutes,YouTube_Minutes,WhatsApp_Minutes,LinkedIn_Minutes,Reels_Watched,Videos_Watched,Messages_Sent,Posts_Liked,Study_Minutes
2026-08-22,228,222,40,9,223,91,94,150,175
2026-08-23,99,197,50,29,111,72,168,41,85
2026-08-24,177,184,151,36,227,42,351,85,331
2026-08-25,23,169,66,21,26,44,162,11,144
2026-08-26,21,185,129,3,27,38,211,15,100
2026-08-27,89,22,143,68,114,6,289,39,318
2026-08-28,74,90,37,53,99,32,115,45,56
2026-08-29,190,165,133,21,146,37,228,32,72
2026-08-30,189,268,14,29,247,56,39,50,146
2026-08-31,150,35,87,68,151,12,280,38,328
2026-09-01,26,92,29,13,29,28,99,12,332
2026-09-02,40,209,125,18,28,50,351,8,257
2026-09-03,68,67,31,64,84,19,75,56,142
2026-09-04,120,128,23,10,163,54,80,60,295
2026-09-05,140,236,12,8,152,60,26,47,151
2026-09-06,116,202,81,17,141,61,169,86,88
2026-09-07,26,34,20,68,31,12,32,6,327
2026-09-08,42,15,87,6,29,2,148,6,142
2026-09-09,40,61,57,33,26,27,105,9,69
2026-09-10,68,70,124,6,85,30,296,33,301
2026-09-11,96,15,171,18,129,4,509,30,296
2026-09-12,156,130,56,6,214,50,127,118,69
2026-09-13,151,94,109,11,101,15,196,57,76
2026-09-14,86,51,148,42,64,16,285,34,330
2026-09-15,20,120,85,3,14,33,285,5,104
2026-09-16,122,122,26,20,109,25,51,59,338
2026-09-17,173,201,72,25,147,47,181,101,333
2026-09-18,137,113,93,68,104,20,319,47,176
2026-09-19,208,139,59,24,223,54,163,82,103
2026-09-20,137,234,63,4,122,70,167,71,158
