Date,Instagram_Minutes,YouTube_Minutes,WhatsApp_Minutes,LinkedIn_Minutes,Reels_Watched,Videos_Watched,Messages_Sent,Posts_Liked,Study_Minutes
2026-08-23,98,211,106,11,114,63,284,54,75
2026-08-24,158,104,33,26,155,26,79,43,349
2026-08-25,35,127,66,5,25,26,141,14,284
2026-08-26,128,152,16,8,126,27,43,82,235
2026-08-27,137,129,111,25,151,31,209,84,47
2026-08-28,49,203,16,53,44,46,27,23,170
2026-08-29,225,264,28,22,217,49,70,128,138
2026-08-30,93,156,99,18,85,33,312,54,100
2026-08-31,77,15,122,58,58,4,223,28,115
2026-09-01,70,124,54,13,87,41,147,50,285
2026-09-02,131,74,75,15,155,25,226,103,215
2026-09-03,38,137,163,21,40,49,251,26,126
2026-09-04,137,22,144,47,84,3,325,32,104
2026-09-05,202,109,110,21,207,41,183,100,64
2026-09-06,147,98,58,11,89,41,162,50,83
2026-09-07,57,161,136,68,57,52,301,36,288
2026-09-08,50,154,125,28,37,54,371,20,186
2026-09-09,92,173,33,11,60,72,76,37,63
2026-09-10,45,36,77,37,51,12,131,18,113
2026-09-11,142,78,12,4,91,32,19,48,50
2026-09-12,62,99,16,19,69,33,53,33,66
2026-09-13,113,228,155,2,85,99,494,53,112
2026-09-14,132,52,39,41,79,18,86,17,300
2026-09-15,119,91,69,12,146,39,236,31,54
2026-09-16,90,58,83,33,97,9,245,51,211
2026-09-17,38,140,164,34,28,57,261,18,231
2026-09-18,133,210,111,67,109,74,264,42,337
2026-09-19,239,134,56,28,179,24,92,56,81
2026-09-20,220,130,140,22,225,54,236,156,89
2026-09-21,98,92,145,47,115,35,279,41,256
